threshold,score_cutoff,acceptance_rate,refusal_rate,bad_rate_accepted,bad_rate_refused,captured_defaults
0.05,950,0.6923866666666667,0.30761333333333335,0.015424907084673305,0.18256685882709894,0.8402154398563735
0.06,940,0.7234333333333334,0.2765666666666667,0.017186564069483483,0.19672170664095456,0.8139836425294235
0.07,930,0.7495,0.2505,0.01861685568156549,0.21112441783100466,0.7912427688011171
0.08,920,0.7731133333333333,0.22688666666666665,0.02011779213051989,0.22604530896482825,0.7673050069818472
0.09,910,0.7957,0.2043,0.021716727409827826,0.24258443465491925,0.7414721723518851
0.1,900,0.8142,0.1858,0.023278473757471548,0.2577323286688195,0.7164372631158986
0.11,890,0.8306733333333334,0.16932666666666665,0.024718902737538222,0.2734753336745541,0.6927987233193696
0.12,880,0.8472866666666666,0.15271333333333334,0.026563225354661546,0.2903042738027677,0.6632754837422701
0.13,870,0.8620733333333334,0.13792666666666667,0.028017724710194803,0.3094881337909034,0.6386395372032715
0.14,860,0.8715333333333334,0.12846666666666667,0.0290139983171422,0.3234561494551116,0.6216836225812886
0.15,850,0.8793466666666667,0.12065333333333333,0.0301284286819002,0.33440159133605923,0.6036305605425892
0.16,840,0.8859266666666666,0.11407333333333333,0.031010843636418366,0.3450996435041786,0.5889686814282864
0.17,830,0.89236,0.10764,0.0319527246103964,0.3560634212808126,0.5734091362457611
0.18,820,0.8971733333333334,0.10282666666666666,0.032620972535964805,0.3654045643153527,0.5621384400558548
0.19,810,0.9018733333333333,0.09812666666666667,0.03344150324140123,0.37380256810924656,0.5487731897067624
0.2,800,0.9058533333333333,0.09414666666666667,0.03417035870413165,0.3811783033564651,0.5369040494713744
0.21,790,0.90926,0.09074,0.03485618341655119,0.38733377415325837,0.5258328346299621
0.22,780,0.9127933333333333,0.08720666666666667,0.03548083173263024,0.3950768289886094,0.5154598045082784
0.23,770,0.9155133333333333,0.08448666666666667,0.03619098939028741,0.39895841552907757,0.5042888489926192
0.24,760,0.91818,0.08182,0.03673208593812397,0.4047095249735191,0.4954119289846399
0.25,750,0.9208266666666667,0.07917333333333333,0.03743737511221801,0.40880767935331763,0.48424097346898065
0.26,740,0.9243066666666667,0.07569333333333333,0.038089811462285246,0.4179143914039105,0.4732694993018153
0.27,730,0.9281933333333333,0.07180666666666667,0.0389861307629876,0.4268870114195525,0.45860762018751244
0.28,720,0.93198,0.06802,0.039793414737083053,0.43742036655885524,0.44514262916417313
0.29,710,0.93594,0.06406,0.04075047545782849,0.4480174836091165,0.4293836026331538
0.3,700,0.9390133333333334,0.06098666666666667,0.041518757277141966,0.45671184958460864,0.41671653700379013
0.31,690,0.9417333333333333,0.05826666666666667,0.042354523573552315,0.46258581235697943,0.4032515459804508
0.32,680,0.94418,0.05582,0.04306382257620369,0.46900752418487995,0.3916816277678037
0.33,670,0.9467866666666667,0.053213333333333335,0.04374093424777141,0.4778251064896016,0.38041093157789746
0.34,660,0.9494866666666667,0.050513333333333334,0.044494217928284056,0.48686815362280583,0.3679433472970277
0.35,650,0.9521866666666666,0.04781333333333333,0.04523622819055087,0.49707194645844954,0.35557550369040497
0.36,640,0.95506,0.04494,0.046133227231796956,0.5068980863373387,0.3408138839018552
0.37,630,0.9576666666666667,0.042333333333333334,0.04705186216498434,0.5144881889763779,0.3258527827648115
0.38,620,0.9600266666666667,0.03997333333333333,0.04790144718202272,0.5216811207471648,0.31198882904448433
0.39,610,0.9622466666666667,0.03775333333333333,0.0486638907556621,0.5301077167579021,0.29942150408936763
0.4,600,0.9642866666666666,0.03571333333333333,0.04952192639809738,0.5344409184244914,0.2855575503690405
0.41,590,0.9664733333333333,0.03352666666666667,0.05026522545888488,0.5446410817259892,0.2731897067624177
0.42,580,0.96896,0.03104,0.051216424482606784,0.554553264604811,0.2575304209056453
0.43,570,0.9720066666666667,0.027993333333333332,0.0523796133085507,0.5689449869016433,0.23828047077598244
0.44,560,0.9748866666666667,0.025113333333333335,0.05348997832226652,0.5850809662861693,0.21982844604029522
0.45,550,0.9778533333333334,0.022146666666666665,0.05475940495507165,0.6002408187838651,0.19888290444843407
0.46,540,0.9801733333333333,0.019826666666666666,0.05579285296478174,0.612979152656355,0.18182724915220427
0.47,530,0.9826,0.0174,0.056930592306126605,0.6264367816091954,0.16307600239377618
0.48,520,0.9850666666666666,0.014933333333333333,0.058134813210611806,0.6410714285714286,0.14322760821863156
0.49,510,0.98726,0.01274,0.05924140212980032,0.6556776556776557,0.12497506483143826
0.5,500,0.9892666666666666,0.010733333333333333,0.06029382033829773,0.6701863354037267,0.10762018751246759
0.51,490,0.9912933333333334,0.008706666666666666,0.061414717473469,0.6845329249617151,0.08916816277678037
0.52,480,0.9933866666666666,0.006613333333333333,0.06262750993235262,0.6995967741935484,0.0692200279273888
0.53,470,0.9950466666666666,0.004953333333333333,0.06362180668243365,0.7133243606998654,0.05286255735088769
0.54,460,0.9970666666666667,0.0029333333333333334,0.06480342337523402,0.759090909090909,0.03331338519848394
