model,roc_auc,pr_auc,best_threshold,score_cutoff,recall,precision,acceptance_rate,bad_rate_accepted,captured_defaults
Random Forest,0.8581980209692931,0.36669063998229495,0.05,950.0,0.823470744680851,0.181173200702165,0.6961777777777778,0.016949693564862103,0.823470744680851
Decision Tree,0.8497123462663102,0.35319498430568397,0.05,950.0,0.8221409574468085,0.1718554551772064,0.6802222222222222,0.01747794838288141,0.8221409574468085
Gradient Boosting,0.8607342618832159,0.3949768178685266,0.05,950.0,0.8141622340425532,0.18509560879752096,0.7059777777777778,0.017595769460795115,0.8141622340425532
